id,name,category,latitude,longitude
255,New Market Road,Food,37.4540566,-77.3704867
256,New Market Road,Food,37.4538361,-77.3700486
257,New Market Road,Food,37.4448802,-77.3529638
258,Sheetz,Food,37.6038534,-77.5689863
259,,Food,37.5461969,-77.3671648
260,Shell,Food,37.6418404,-77.5708286
261,7-Eleven,Food,37.6519955,-77.610905
262,Dash In,Food,37.6348529,-77.456111
263,,Food,37.6346973,-77.4567327
264,,Food,37.4793496,-77.3517262
265,Super Stop,Food,37.4793454,-77.3520856
266,Fas Mart,Food,37.4450545,-77.351949
267,Tesla Supercharger,Food,37.66983,-77.46142
268,Food Lion,Food,37.681928,-77.5910002
269,Paradise Market,Food,37.648665,-77.5852347
270,Adnan Halal Meat & Grocery,Food,37.6461064,-77.5743062
271,Eyemart Express,Food,37.6520102,-77.6180664
272,Kroger,Food,37.5801603,-77.499168
273,Trader Joe's,Food,37.6490044,-77.6071544
274,Food Lion,Food,37.636963,-77.462161
275,The Fresh Market,Food,37.6040731,-77.5631608
276,Live Crawfish & Seafood,Food,37.6372828,-77.5477251
277,Supercuts,Food,37.640806,-77.5128169
278,Danny's Flower Market,Food,37.6026822,-77.5592387
279,El Parasio Latino Market,Food,37.6152984,-77.4990093
280,PetSmart,Food,37.5878783,-77.5027233
281,Food Lion,Food,37.6046076,-77.4522741
282,Tony's Market,Food,37.576732,-77.396981
283,Save-A-Lot,Food,37.5792884,-77.3961908
284,Food Lion,Food,37.5679158,-77.3999759
285,West Lake Chinese & Seafood,Food,37.5987948,-77.6211831
286,Food Lion,Food,37.6188777,-77.5220615
287,Tuckahoe Seafood,Food,37.595783,-77.5751063
288,Blessings Global Market,Food,37.5947119,-77.57354
289,7-Eleven,Food,37.6191224,-77.6383193
290,Smart Tax,Food,37.5991651,-77.6233331
291,Patterson Food Mart,Food,37.5982157,-77.6235667
292,,Food,37.666623,-77.5749279
293,,Food,37.6329378,-77.6145956
294,Nine Mile & Martin,Food,37.541222,-77.374368
295,Hudson,Food,37.5082495,-77.3313468
296,7-Eleven,Food,37.6013672,-77.5624957
297,Martial Arts,Food,37.621024,-77.6120612
298,,Food,37.610304,-77.4956454
299,APlus,Food,37.6131267,-77.4969568
300,Joe's,Food,37.5778161,-77.3950902
301,,Food,37.5609094,-77.3758118
302,Food Mart,Food,37.5374843,-77.320317
303,MartinAir,Food,37.517658,-77.3305474
304,Hudson,Food,37.5089099,-77.3306598
305,Ummah Market,Food,37.6443655,-77.5657788
306,Desi Street Food,Food,37.6390653,-77.5488857
307,Royal Bazaar,Food,37.6392012,-77.5492773
308,Aldi,Food,37.5961594,-77.5130028
309,Far East Oriental Grocery Store,Food,37.5958809,-77.5148332
310,White House Black Market,Food,37.656089,-77.6191006
311,Bushin Martial Arts Academy,Food,37.6141329,-77.4577224
312,PetSmart,Food,37.5312253,-77.3539233
313,K&G Fashion Superstore,Food,37.5312839,-77.3547398
314,Food Lion,Food,37.5500293,-77.3421972
315,Martha’s Beauty,Food,37.5686727,-77.399841
316,PGA Tour Superstore,Food,37.6453872,-77.5851606
317,Publix,Food,37.5909593,-77.5326533
318,Revel Market & Bar,Food,37.6136426,-77.4695932
319,Food Lion,Food,37.4429186,-77.3532153
320,Rocketts Market Cafe,Food,37.5164854,-77.4149777
321,The Mantu Market,Food,37.619459,-77.5212616
322,La Michoacana Meat Market,Food,37.6241609,-77.5031652
